Date,Block,Primary Type,Location Description,District
01/15/2019 12:25:00 AM,E WACKER DR,DECEPTIVE PRACTICE,STREET,Central District
01/15/2019 12:01:00 AM,S HAMLIN AVE,DECEPTIVE PRACTICE,OTHER,Ogden District
01/15/2019 12:01:00 AM,S CARPENTER ST,DECEPTIVE PRACTICE,RESIDENCE,Englewood District
01/15/2019 12:00:00 AM,W DEVON AVE,BATTERY,STREET,Rogers Park District
01/14/2019 11:49:00 PM,S STATE ST,WEAPONS VIOLATION,STREET,Wentworth District
01/14/2019 11:30:00 PM,S PARNELL AVE,BATTERY,RESIDENCE,Calumet District
01/14/2019 11:00:00 PM,S CORLISS AVE,BATTERY,APARTMENT,Calumet District
01/14/2019 11:00:00 PM,S OGLESBY AVE,THEFT,CHA APARTMENT,South Chicago District
01/14/2019 10:40:00 PM,S KOMENSKY AVE,CRIMINAL DAMAGE,STREET,Ogden District
01/14/2019 10:18:00 PM,S HALSTED ST,CRIMINAL TRESPASS,GAS STATION,Morgan Park District
01/14/2019 10:06:00 PM,W 63RD ST,CRIMINAL TRESPASS,SMALL RETAIL STORE,Chicago Lawn District
01/14/2019 10:00:00 PM,S COTTAGE GROVE AVE,MOTOR VEHICLE THEFT,OTHER,Gresham District
01/14/2019 09:51:00 PM,W 103RD ST,OTHER OFFENSE,STREET,Calumet District
01/14/2019 09:45:00 PM,N MILWAUKEE AVE,BATTERY,SIDEWALK,Grand Central District
01/14/2019 09:30:00 PM,W FARRAGUT AVE,BATTERY,RESIDENCE,Jefferson Park District
01/14/2019 09:00:00 PM,N MILWAUKEE AVE,BATTERY,SIDEWALK,Grand Central District
01/14/2019 08:49:00 PM,S WHIPPLE ST,WEAPONS VIOLATION,RESIDENCE,Chicago Lawn District
01/14/2019 08:30:00 PM,W SHERIDAN RD,OTHER OFFENSE,OTHER,Town Hall District
01/14/2019 08:17:00 PM,S JEFFERY BLVD,CRIMINAL DAMAGE,APARTMENT,Grand Crossing District
01/14/2019 08:10:00 PM,E 107TH ST,ASSAULT,RESIDENCE,Calumet District
01/14/2019 08:00:00 PM,S SAGINAW AVE,OTHER OFFENSE,RESIDENCE,South Chicago District
01/14/2019 08:00:00 PM,N DEARBORN ST,THEFT,CTA PLATFORM,Central District
01/14/2019 07:30:00 PM,S ASHLAND AVE,CRIMINAL TRESPASS,GAS STATION,Deering District
01/14/2019 07:30:00 PM,S SHIELDS AVE,ASSAULT,RESIDENCE,Deering District
01/14/2019 07:15:00 PM,N WISNER AVE,CRIMINAL DAMAGE,STREET,Shakespeare District
01/14/2019 07:03:00 PM,W 59TH ST,CRIMINAL TRESPASS,GAS STATION,Englewood District
01/14/2019 07:00:00 PM,N LAVERGNE AVE,BATTERY,APARTMENT,Austin District
01/14/2019 06:50:00 PM,S JEFFERY BLVD,ASSAULT,RESIDENCE,Grand Crossing District
01/14/2019 06:38:00 PM,S KEDZIE AVE,BATTERY,"SCHOOL, PRIVATE, BUILDING",Ogden District
01/14/2019 06:15:00 PM,N MELVINA AVE,BATTERY,STREET,Jefferson Park District
01/14/2019 06:04:00 PM,S CENTRAL PARK AVE,ROBBERY,CTA TRAIN,Ogden District
01/14/2019 06:00:00 PM,S DR MARTIN LUTHER KING JR DR,BATTERY,STREET,Grand Crossing District
01/14/2019 05:55:00 PM,N MERRIMAC AVE,OTHER OFFENSE,RESIDENCE,Grand Central District
01/14/2019 05:30:00 PM,W 79TH ST,DECEPTIVE PRACTICE,AUTO / BOAT / RV DEALERSHIP,Chicago Lawn District
01/14/2019 05:30:00 PM,S DR MARTIN LUTHER KING JR DR,THEFT,PARKING LOT/GARAGE(NON.RESID.),Central District
01/14/2019 05:10:00 PM,W LAKE ST,ROBBERY,SIDEWALK,Near West District
